,Rank,Country Code,Country/Territory,Capital,Continent,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Area (km²),Density (per km²),Growth Rate (2023),World Population Percentage (2023)
174,211,KNA,Saint Kitts and Nevis,Basseterre,North America,,47657,,47642,47790,47403,45461,261,182.5939,,
175,190,LCA,Saint Lucia,Castries,North America,"180,251",179857,"184,831",179237,175623,170935,159500,616,291.9756,0.22%,0%
176,220,MAF,Saint Martin,Marigot,North America,"32,077",31791,"39,234",32552,35020,36458,29610,53,599.8302,0.9%,0%
177,229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,,5862,,5906,5978,6052,6274,242,24.2231,,
178,199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,,103948,,104632,106482,109308,113813,389,267.2185,,
179,188,WSM,Samoa,Apia,Oceania,"225,037",222382,"201,011",214929,203571,194672,184008,2842,78.2484,1.48%,0%
180,218,SMR,San Marino,San Marino,Europe,"33,642",33660,"34,017",34007,33570,31608,26823,61,551.8033,-0.05%,0%
181,187,STP,Sao Tome and Principe,São Tomé,Africa,,227380,,218641,201124,182138,143714,964,235.8714,,
182,41,SAU,Saudi Arabia,Riyadh,Asia,"36,838,265",36408820,"35,659,227",35997107,32749848,29411929,21547390,2149690,16.9368,1.48%,0.46%
183,72,SEN,Senegal,Dakar,Africa,"17,670,492",17316449,"17,462,688",16436119,14356181,12530121,9704287,196722,88.025,2.58%,0.22%
184,105,SRB,Serbia,Belgrade,Europe,"7,161,948",7221365,"8,674,489",7358005,7519496,7653748,7935022,88361,81.7257,-1%,0.09%
185,196,SYC,Seychelles,Victoria,Africa,"107,660",107118,"99,124",105530,99240,92409,80060,452,236.9867,0.51%,0%
186,102,SLE,Sierra Leone,Freetown,Africa,"8,753,123",8605718,"8,238,113",8233969,7314773,6436698,4584067,71740,119.957,2.15%,0.11%
